Channel,Fixture ID,Instrument Type,GDTF Fixture Mode,Universe,U Address,Absolute Address,GDTF Fixture,DMX Footprint,Fixture Name,Device Type,Position,Unit Number,Layer,Color,UID
253,253,Led Tile RGB8 Wall,Default,4,157,1693,Generic@Led Tile RGB8 Wall,3,LED Backwall 53,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-AAE6-DC6E-C16C-88208DB0D613
254,254,Led Tile RGB8 Wall,Default,4,160,1696,Generic@Led Tile RGB8 Wall,3,LED Backwall 54,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-830F-614F-0CE6-A11B8DB0D613
255,255,Led Tile RGB8 Wall,Default,4,163,1699,Generic@Led Tile RGB8 Wall,3,LED Backwall 55,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-2FAF-0C4B-575F-B9168DB0D613
256,256,Led Tile RGB8 Wall,Default,4,166,1702,Generic@Led Tile RGB8 Wall,3,LED Backwall 56,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-1003-E116-A2D0-D6118DB0D613
257,257,Led Tile RGB8 Wall,Default,4,169,1705,Generic@Led Tile RGB8 Wall,3,LED Backwall 57,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-CC9C-815B-ED49-EE0C8DB0D613
258,258,Led Tile RGB8 Wall,Default,4,172,1708,Generic@Led Tile RGB8 Wall,3,LED Backwall 58,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-8416-1367-38C3-07088DB0D613
259,259,Led Tile RGB8 Wall,Default,4,175,1711,Generic@Led Tile RGB8 Wall,3,LED Backwall 59,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-0A03-0B72-8344-1F038DB0D613
260,260,Led Tile RGB8 Wall,Default,4,178,1714,Generic@Led Tile RGB8 Wall,3,LED Backwall 60,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-5429-7B5B-CEBD-34FE8DB0D613
261,261,Led Tile RGB8 Wall,Default,4,181,1717,Generic@Led Tile RGB8 Wall,3,LED Backwall 61,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-F1C5-CB1D-1937-4CF98CB0D613
262,262,Led Tile RGB8 Wall,Default,4,184,1720,Generic@Led Tile RGB8 Wall,3,LED Backwall 62,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-D2BE-5952-64A8-65F48CB0D613
263,263,Led Tile RGB8 Wall,Default,4,187,1723,Generic@Led Tile RGB8 Wall,3,LED Backwall 63,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-2B4D-4520-AF21-7DEF8CB0D613
264,264,Led Tile RGB8 Wall,Default,4,190,1726,Generic@Led Tile RGB8 Wall,3,LED Backwall 64,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-1502-A001-FA9A-8AEA8CB0D613
265,265,Led Tile RGB8 Wall,Default,4,193,1729,Generic@Led Tile RGB8 Wall,3,LED Backwall 65,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-D15F-9B06-451C-A2E58CB0D613
266,266,Led Tile RGB8 Wall,Default,4,196,1732,Generic@Led Tile RGB8 Wall,3,LED Backwall 66,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-9CDB-CF3F-9095-BBE08CB0D613
267,267,Led Tile RGB8 Wall,Default,4,199,1735,Generic@Led Tile RGB8 Wall,3,LED Backwall 67,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-F45B-D365-DB0E-D3DB8CB0D613
268,268,Led Tile RGB8 Wall,Default,4,202,1738,Generic@Led Tile RGB8 Wall,3,LED Backwall 68,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-AFB6-897C-2680-E8D68CB0D613
269,269,Led Tile RGB8 Wall,Default,4,205,1741,Generic@Led Tile RGB8 Wall,3,LED Backwall 69,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-3D23-C61E-71F9-01D28CB0D613
270,270,Led Tile RGB8 Wall,Default,4,208,1744,Generic@Led Tile RGB8 Wall,3,LED Backwall 70,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-D469-454E-BC72-19CD8CB0D613
271,271,Led Tile RGB8 Wall,Default,4,211,1747,Generic@Led Tile RGB8 Wall,3,LED Backwall 71,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-3733-1166-07F4-36C88CB0D613
272,272,Led Tile RGB8 Wall,Default,4,214,1750,Generic@Led Tile RGB8 Wall,3,LED Backwall 72,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-F052-4053-526D-4EC38CB0D613
273,273,Led Tile RGB8 Wall,Default,4,217,1753,Generic@Led Tile RGB8 Wall,3,LED Backwall 73,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-C82A-5236-9DE6-67BE8CB0D613
274,274,Led Tile RGB8 Wall,Default,4,220,1756,Generic@Led Tile RGB8 Wall,3,LED Backwall 74,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-EF3B-BD6C-E85F-7FB98CB0D613
275,275,Led Tile RGB8 Wall,Default,4,223,1759,Generic@Led Tile RGB8 Wall,3,LED Backwall 75,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-8E76-1B61-33D1-94B48FB0D613
276,276,Led Tile RGB8 Wall,Default,4,226,1762,Generic@Led Tile RGB8 Wall,3,LED Backwall 76,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-C637-F066-7E4A-ACAF8FB0D613
277,277,Led Tile RGB8 Wall,Default,4,229,1765,Generic@Led Tile RGB8 Wall,3,LED Backwall 77,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-56DA-2648-C9C3-C5AA8FB0D613
278,278,Led Tile RGB8 Wall,Default,4,232,1768,Generic@Led Tile RGB8 Wall,3,LED Backwall 78,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-5B46-C622-1445-DDA58FB0D613
279,279,Led Tile RGB8 Wall,Default,4,235,1771,Generic@Led Tile RGB8 Wall,3,LED Backwall 79,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-876C-9E48-5FBE-EAA08FB0D613
280,280,Led Tile RGB8 Wall,Default,4,238,1774,Generic@Led Tile RGB8 Wall,3,LED Backwall 80,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-8BC3-D047-AA37-029C8FB0D613
281,281,Led Tile RGB8 Wall,Default,4,241,1777,Generic@Led Tile RGB8 Wall,3,LED Backwall 81,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-2970-4A56-F5A8-1B978FB0D613
282,282,Led Tile RGB8 Wall,Default,4,244,1780,Generic@Led Tile RGB8 Wall,3,LED Backwall 82,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-1B71-A578-4022-33928FB0D613
283,283,Led Tile RGB8 Wall,Default,4,247,1783,Generic@Led Tile RGB8 Wall,3,LED Backwall 83,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-6153-5F69-8B9B-488D8FB0D613
284,284,Led Tile RGB8 Wall,Default,4,250,1786,Generic@Led Tile RGB8 Wall,3,LED Backwall 84,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-3353-363F-D61C-60888FB0D613
285,285,Led Tile RGB8 Wall,Default,4,253,1789,Generic@Led Tile RGB8 Wall,3,LED Backwall 85,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-7E85-374E-2196-79838FB0D613
286,286,Led Tile RGB8 Wall,Default,4,256,1792,Generic@Led Tile RGB8 Wall,3,LED Backwall 86,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-F006-7B3A-6C0F-917E8CB0D613
287,287,Led Tile RGB8 Wall,Default,4,259,1795,Generic@Led Tile RGB8 Wall,3,LED Backwall 87,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-E45A-084C-B780-AE798CB0D613
